id;Borough;ZIP.CODE;LATITUDE;LONGITUDE;LOCATION;ON.STREET.NAME;CROSS.STREET.NAME;OFF.STREET.NAME;Persons injured;Persons killed;Pedestrians injured;Pedestrians killed;Cyclist injured;Cyclist killed;Motorist injured;Motorist killed;CONTRIBUTING.FACTOR.VEHICLE.1;CONTRIBUTING.FACTOR.VEHICLE.2;CONTRIBUTING.FACTOR.VEHICLE.3;CONTRIBUTING.FACTOR.VEHICLE.4;CONTRIBUTING.FACTOR.VEHICLE.5;UNIQUE.KEY;Vehicle type1;Vehicle type2;Vehicle type3;Vehicle type4;Vehicle type5;datetime;location2;Number accidents
16298;BROOKLYN;11213;40.666878600000004;-73.94521280000001;(40.6668786, -73.9452128);brooklyn avenue;carroll street;                                        ;1;0;1;0;0;0;0;0;Unspecified;;;;;3457039;PASSENGER VEHICLE;;;;;2016-06-06 10:23:00;40.6668786 -73.9452128;1
5247;BROOKLYN;11236;40.64775;-73.906594;(40.64775, -73.906594);east 96th street;foster avenue;                                        ;1;0;0;0;0;0;1;0;Unspecified;Unspecified;;;;3467751;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-24 17:07:00;40.64775 -73.906594;1
5787;QUEENS;11414;40.6625242;-73.84070229999999;(40.6625242, -73.8407023);cross bay boulevard;157th avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3466977;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-23 13:00:00;40.6625242 -73.8407023;1
10196;BROOKLYN;11208;40.6793614;-73.8797404;(40.6793614, -73.8797404);atlantic avenue;hale avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464520;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-17 19:30:00;40.6793614 -73.8797404;1
14697;QUEENS;11372;40.7491443;-73.86964240000002;(40.7491443, -73.8696424);;;95-57 ROOSEVELT AVENUE                  ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3459646;PASSENGER VEHICLE;MOTORCYCLE;;;;2016-06-09 21:30:00;40.7491443 -73.8696424;1
9007;STATEN ISLAND;10314;40.6114287;-74.1168345;(40.6114287, -74.1168345);slosson avenue;reon avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464877;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-19 09:45:00;40.6114287 -74.1168345;1
16522;QUEENS;11372;40.7547904;-73.8880827;(40.7547904, -73.8880827);;;33-16 79 STREET                         ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3458168;PASSENGER VEHICLE;SMALL COM VEH(4 TIRES) ;;;;2016-06-06 15:00:00;40.7547904 -73.8880827;1
16957;MANHATTAN;10002;40.7231369;-73.9893032;(40.7231369, -73.9893032);;;151 EAST HOUSTON STREET                 ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3455650;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-06 08:48:00;40.7231369 -73.9893032;1
18735;STATEN ISLAND;10312;40.55311079999999;-74.1917619;(40.5531108, -74.1917619);;;260 ARDEN AVENUE                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3455235;PASSENGER VEHICLE;;;;;2016-06-03 08:30:00;40.5531108 -74.1917619;1
17615;BRONX;10460;40.835064200000005;-73.88389670000001;(40.8350642, -73.8838967);;;1711 BOONE AVENUE                       ;2;0;1;0;0;0;1;0;Unspecified;Unspecified;Unspecified;Unspecified;;3455352;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;2016-06-04 13:35:00;40.8350642 -73.8838967;1
19951;MANHATTAN;10005;40.7035725;-74.00803559999999;(40.7035725, -74.0080356);;;32 OLD SLIP                             ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3452830;PASSENGER VEHICLE;;;;;2016-06-01 18:47:00;40.7035725 -74.0080356;1
18537;BROOKLYN;11223;40.5959869;-73.98221190000001;(40.5959869, -73.9822119);avenue u;west 11th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3457786;PASSENGER VEHICLE;;;;;2016-06-03 20:00:00;40.5959869 -73.9822119;1
1753;MANHATTAN;10040;40.857982299999996;-73.92723690000001;(40.8579823, -73.9272369);;;17 FORT GEORGE HILL                     ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;Unspecified;;;3471273;PASSENGER VEHICLE;PASSENGER VEHICLE;OTHER;;;2016-06-29 15:00:00;40.8579823 -73.9272369;1
6287;MANHATTAN;10017;40.750766;-73.97444329999999;(40.750766, -73.9744433);3rd avenue;east 42nd street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3467142;PASSENGER VEHICLE;;;;;2016-06-23 09:45:00;40.750766 -73.9744433;1
10572;BROOKLYN;11213;40.669554600000005;-73.9449618;(40.6695546, -73.9449618);eastern parkway;brooklyn avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3462902;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-16 12:45:00;40.6695546 -73.9449618;1
20039;QUEENS;11421;40.6847527;-73.860765;(40.6847527, -73.860765);rockaway boulevard;atlantic avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3453827;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-01 21:30:00;40.6847527 -73.860765;1
3297;BROOKLYN;11206;40.69698629999999;-73.9352238;(40.6969863, -73.9352238);myrtle avenue;broadway;                                        ;1;0;1;0;0;0;0;0;Unspecified;;;;;3482427;PASSENGER VEHICLE;;;;;2016-06-27 18:20:00;40.6969863 -73.9352238;1
5311;BROOKLYN;11217;40.6799525;-73.9813242;(40.6799525, -73.9813242);4th avenue;butler street;                                        ;1;0;0;0;1;0;0;0;Unspecified;Unspecified;;;;3469046;PASSENGER VEHICLE;BICYCLE;;;;2016-06-24 18:00:00;40.6799525 -73.9813242;1
7369;BRONX;10466;40.9001347;-73.8586282;(40.9001347, -73.8586282);bullard avenue;nereid avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3465771;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-21 16:50:00;40.9001347 -73.8586282;1
17973;BROOKLYN;11207;40.677359499999994;-73.88686070000001;(40.6773595, -73.8868607);atlantic avenue;warwick street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3456252;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-04 22:30:00;40.6773595 -73.8868607;1
11063;BROOKLYN;11230;40.630592;-73.9755052;(40.630592, -73.9755052);webster avenue;seton place;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3462156;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-16 08:00:00;40.630592 -73.9755052;1
1763;BRONX;10474;40.8122164;-73.88588370000001;(40.8122164, -73.8858837);faile street;randall avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3472684;VAN;;;;;2016-06-29 15:10:00;40.8122164 -73.8858837;1
19677;MANHATTAN;10065;40.7661414;-73.9716468;(40.7661414, -73.9716468);east 62nd street;5th avenue;                                        ;1;0;0;0;0;0;1;0;Unspecified;Unspecified;Unspecified;;;3454360;PASSENGER VEHICLE;PASSENGER VEHICLE;PASSENGER VEHICLE;;;2016-06-01 14:11:00;40.7661414 -73.9716468;1
16091;MANHATTAN;10023;40.773032799999996;-73.9821971;(40.7730328, -73.9821971);broadway;west 65th street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3457561;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-07 23:00:00;40.7730328 -73.9821971;1
18260;QUEENS;11372;40.753159499999995;-73.8904063;(40.7531595, -73.8904063);;;76-10 34 AVENUE                         ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3455206;PASSENGER VEHICLE;OTHER;;;;2016-06-03 14:00:00;40.7531595 -73.8904063;1
9413;BRONX;10467;40.86967429999999;-73.8656278;(40.8696743, -73.8656278);;;740 ADEE AVENUE                         ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3464307;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-18 19:00:00;40.8696743 -73.8656278;1
